Fri May 03 02:57:14 GMT+04:00 2013  [error] Left side ($phantoms) of '==' operation has null value. If a reference, it may not be in the context. Operation not possible. parserGenTemplates/CSharp/Nonterminal.ParserFunctionBody.cs.template [line 26, column 18]
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Grammar.Skip.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Nonterminal.ErrorHandler.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Terminal.ErrorMessageText.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Grammar.Match.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013  [error] Left side ($phantoms) of '==' operation has null value. If a reference, it may not be in the context. Operation not possible. parserGenTemplates/CSharp/Nonterminal.ParserFunctionBody.cs.template [line 26, column 18]
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Grammar.TokenBitset.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Grammar.BitsetTermSetCheck.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013  [error] Left side ($phantoms) of '==' operation has null value. If a reference, it may not be in the context. Operation not possible. parserGenTemplates/CSharp/Nonterminal.ParserFunctionBody.cs.template [line 26, column 18]
Fri May 03 02:57:14 GMT+04:00 2013  [error] Left side ($phantoms) of '==' operation has null value. If a reference, it may not be in the context. Operation not possible. parserGenTemplates/CSharp/Nonterminal.ParserFunctionBody.cs.template [line 26, column 18]
Fri May 03 02:57:14 GMT+04:00 2013  [error] Left side ($phantoms) of '==' operation has null value. If a reference, it may not be in the context. Operation not possible. parserGenTemplates/CSharp/Nonterminal.ParserFunctionBody.cs.template [line 26, column 18]
Fri May 03 02:57:14 GMT+04:00 2013   [info] ResourceManager : found parserGenTemplates/CSharp/Nonterminal.ErrorMessageText.cs.template with loader org.apache.velocity.runtime.resource.loader.JarResourceLoader
Fri May 03 02:57:14 GMT+04:00 2013  [error] Left side ($phantoms) of '==' operation has null value. If a reference, it may not be in the context. Operation not possible. parserGenTemplates/CSharp/Nonterminal.ParserFunctionBody.cs.template [line 26, column 18]
